county,sub_county,constituency,wards
Busia,Bunyala,Budalangi,Bunyala West
Busia,Bunyala,Budalangi,Bunyala North
Busia,Bunyala,Budalangi,Bunyala Central
Busia,Samia,Funyula,Bwiri
Busia,Samia,Funyula,Ageng'a Nanguba
Busia,Samia,Funyula,Nangina
Busia,Samia,Funyula,Namboboto-nambuku
Busia,Butula,Butula,Elugulu
Busia,Butula,Butula,Marachi North
Busia,Butula,Butula,Marachi East
Busia,Butula,Butula,Marachi Central
Busia,Butula,Butula,Kingandole
Busia,Butula,Butula,Marachi West
Busia,Matayos,Matayos,Burumba
Busia,Matayos,Matayos,Busibwabo
Busia,Matayos,Matayos,Matayos South
Busia,Matayos,Matayos,Mayenje
Busia,Matayos,Matayos,Bukhayo West
Busia,Nambale,Nambale,Bukhayo Central
Busia,Nambale,Nambale,Bukhayo East
Busia,Nambale,Nambale,Bukhayo North/Walatsi
Busia,Nambale,Nambale,Nambale
Busia,Teso South,Teso South,Amukura Central
Busia,Teso South,Teso South,Amukura East
Busia,Teso South,Teso South,Amukura West
Busia,Teso South,Teso South,Chakol North
Busia,Teso South,Teso South,Chakol South
Busia,Teso South,Teso South,Ang'orom
Busia,Teso North,Teso North,Malaba South
Busia,Teso North,Teso North,Ang'urai East
Busia,Teso North,Teso North,Ang'urai North
Busia,Teso North,Teso North,Ang'urai South
Busia,Teso North,Teso North,Malaba North
Busia,Teso North,Teso North,Malaba Central
Bungoma,Tongaren,Tongaren,Soysambu/Mitua
Bungoma,Tongaren,Tongaren,Tongaren
Bungoma,Tongaren,Tongaren,Ndalu
Bungoma,Tongaren,Tongaren,Milima
Bungoma,Tongaren,Tongaren,Naitiri/Kabuyefwe
Bungoma,Tongaren,Tongaren,Mbakalo
Bungoma,Kimilili,Kimilili,Kamukuywa
Bungoma,Kimilili,Kimilili,Maeni
Bungoma,Kimilili,Kimilili,Kimilili
Bungoma,Kimilili,Kimilili,Kibingei
Bungoma,Webuye West,Webute West,Bokoli
Bungoma,Webuye West,Webute West,Matulo
Bungoma,Webuye West,Webute West,Sitikho
Bungoma,Webuye West,Webute West,Misikhu
Bungoma,Webuye East,Webuye East,Maraka
Bungoma,Webuye East,Webuye East,Ndivisi
Bungoma,Webuye East,Webuye East,Mihuu
Bungoma,Kanduyi,Kanduyi,West Sang'alo
Bungoma,Kanduyi,Kanduyi,Marakaru/Tuuti
Bungoma,Kanduyi,Kanduyi,East Sang'alo
Bungoma,Kanduyi,Kanduyi,Musikoma
Bungoma,Kanduyi,Kanduyi,Khalaba
Bungoma,Kanduyi,Kanduyi,Township
Bungoma,Kanduyi,Kanduyi,Bukembe East
Bungoma,Kanduyi,Kanduyi,Bukembe West
Bungoma,Bumula,Bumula,Siboti
Bungoma,Bumula,Bumula,West Bukusu
Bungoma,Bumula,Bumula,Kimaeti
Bungoma,Bumula,Bumula,Kabula
Bungoma,Bumula,Bumula,Khasoko
Bungoma,Bumula,Bumula,Bumula
Bungoma,Bumula,Bumula,South Bukusu
Bungoma,Kabuchai,Kabuchai,Mukuyuni
Bungoma,Kabuchai,Kabuchai,Bwake/Luuya
Bungoma,Kabuchai,Kabuchai,West Nalondo
Bungoma,Kabuchai,Kabuchai,Kabuchai/Chwele
Bungoma,Sirisia,Sirisia,Lwandanyi
Bungoma,Sirisia,Sirisia,Malakisi/South Kulisiru
Bungoma,Sirisia,Sirisia,Namwela
Bungoma,Mt Elgon,Mt. Elgon,Elgon
Bungoma,Mt Elgon,Mt. Elgon,Kaptama
Bungoma,Cheptais,Mt. Elgon,Kapkateny
Bungoma,Cheptais,Mt. Elgon,Chepyuk
Bungoma,Cheptais,Mt. Elgon,Chesikaki
Bungoma,Cheptais,Mt. Elgon,Cheptais
Vihiga,Emuhaya,Emuhaya,West Bunyore
Vihiga,Emuhaya,Emuhaya,Central Bunyore
Vihiga,Emuhaya,Emuhaya,North East Bunyore
Vihiga,Luanda,Luanda,Emabungo
Vihiga,Luanda,Luanda,Luanda South
Vihiga,Luanda,Luanda,Mwibona
Vihiga,Luanda,Luanda,Wemilabi
Vihiga,Luanda,Luanda,Luanda Township
Vihiga,Hamisi,Hamisi,Jepkoyai
Vihiga,Hamisi,Hamisi,Tambua
Vihiga,Hamisi,Hamisi,Muhudu
Vihiga,Hamisi,Hamisi,Banja
Vihiga,Hamisi,Hamisi,Shamakhokho
Vihiga,Hamisi,Hamisi,Gisambai
Vihiga,Hamisi,Hamisi,Shiru
Vihiga,Sabatia,Sabatia,Busali
Vihiga,Sabatia,Sabatia,Wodanga
Vihiga,Sabatia,Sabatia,North Maragoli
Vihiga,Sabatia,Sabatia,Chavakali
Vihiga,Sabatia,Sabatia,West Sabatia
Vihiga,Sabatia,Sabatia,Lyaduywa/Izava
Vihiga,Vihiga,Vihiga,Mungoma
Vihiga,Vihiga,Vihiga,Central Maragoli
Vihiga,Vihiga,Vihiga,South Maragoli
Vihiga,Vihiga,Vihiga,Lugaga-wamuluma
Kakamega,Ikolomani,Ikolomani,Idakho Central
Kakamega,Ikolomani,Ikolomani,Idakho North
Kakamega,Ikolomani,Ikolomani,Idakho East
Kakamega,Ikolomani,Ikolomani,Idakho South
Kakamega,Shinyalu,Shinyalu,Isukha West
Kakamega,Shinyalu,Shinyalu,Isukha East
Kakamega,Shinyalu,Shinyalu,Isukha South
Kakamega,Shinyalu,Shinyalu,Isukha Central
Kakamega,Shinyalu,Shinyalu,Murhanda
Kakamega,Shinyalu,Shinyalu,Isukha North
Kakamega,Khwisero,Khwisero,Kisa Central
Kakamega,Khwisero,Khwisero,Kisa West
Kakamega,Khwisero,Khwisero,Kisa East
Kakamega,Khwisero,Khwisero,Kisa North
Kakamega,Butere,Butere,Marama South
Kakamega,Butere,Butere,Marama North
Kakamega,Butere,Butere,Marenyo-shianda
Kakamega,Butere,Butere,Marama Central
Kakamega,Butere,Butere,Marama West
Kakamega,Matungu,Matungu,Namamali
Kakamega,Matungu,Matungu,Mayoni
Kakamega,Matungu,Matungu,Khalaba
Kakamega,Matungu,Matungu,Kholera
Kakamega,Matungu,Matungu,Koyonzo
Kakamega,Mumias East,Mumias East,East Wanga
Kakamega,Mumias East,Mumias East,Malaha/Isongo/Makunga
Kakamega,Mumias East,Mumias East,Lusheya/Lubinu
Kakamega,Mumias West,Mumias West,Musanda
Kakamega,Mumias West,Mumias West,Etenje
Kakamega,Mumias West,Mumias West,Mumias North
Kakamega,Mumias West,Mumias West,Mumias Central
Kakamega,Navakholo,Navakholo,Bunyala Central
Kakamega,Navakholo,Navakholo,Bunyala East
Kakamega,Navakholo,Navakholo,Bunyala West
Kakamega,Navakholo,Navakholo,Shinoyi-shikomari-esumeiya
Kakamega,Navakholo,Navakholo,Ingoste-matiha
Kakamega,Lurambi,Lurambi,Shirere
Kakamega,Lurambi,Lurambi,Mahiakalo
Kakamega,Lurambi,Lurambi,Sheywe
Kakamega,Lurambi,Lurambi,Butsotso Central
Kakamega,Lurambi,Lurambi,Butsotso South
Kakamega,Lurambi,Lurambi,Butsotso East
Kakamega,Malava,Malava,South Kabras
Kakamega,Malava,Malava,Shirungu-mugai
Kakamega,Malava,Malava,Manda-shivanga
Kakamega,Malava,Malava,Butali/Chegulo
Kakamega,Malava,Malava,East Kabras
Kakamega,Malava,Malava,Chemuche
Kakamega,Malava,Malava,West Kabras
Kakamega,Likuyani,Likuyani,Sinoko
Kakamega,Likuyani,Likuyani,Nzoia
Kakamega,Likuyani,Likuyani,Kongoni
Kakamega,Likuyani,Likuyani,Sango
Kakamega,Likuyani,Likuyani,Likuyani
Kakamega,Lugari,Lugari,Lwandeti
Kakamega,Lugari,Lugari,Chevaywa
Kakamega,Lugari,Lugari,Chekalini
Kakamega,Lugari,Lugari,Lumakanda
Kakamega,Lugari,Lugari,Lugari
Kakamega,Lugari,Lugari,Mautuma
Bomet,Konoin,Konoin,Embomos
Bomet,Konoin,Konoin,Boito
Bomet,Konoin,Konoin,Mogogosiek
Bomet,Konoin,Konoin,Kimulot
Bomet,Konoin,Konoin,Chepchabas
Bomet,Bomet Central,Bomet Central,Mutarakwa
Bomet,Bomet Central,Bomet Central,Chesoen
Bomet,Bomet Central,Bomet Central,Singorwet
Bomet,Bomet Central,Bomet Central,Ndaraweta
Bomet,Bomet Central,Bomet Central,Silibwet Township
Bomet,Bomet East,Bomet East,Chemaner
Bomet,Bomet East,Bomet East,Kipreres
Bomet,Bomet East,Bomet East,Longisa
Bomet,Bomet East,Bomet East,Kembu
Bomet,Bomet East,Bomet East,Merigi
Bomet,Chepalungu,Chepalungu,Siongiroi
Bomet,Chepalungu,Chepalungu,Chebunyo
Bomet,Chepalungu,Chepalungu,Sigor
Bomet,Chepalungu,Chepalungu,Nyangores
Bomet,Chepalungu,Chepalungu,Kong'asis
Bomet,Sotik,Sotik,Rongena/Manaret
Bomet,Sotik,Sotik,Kapletundo
Bomet,Sotik,Sotik,Kipsonoi
Bomet,Sotik,Sotik,Chemagel
Bomet,Sotik,Sotik,Ndanai/Abosi
Kericho,Sigowet/Soin,Sigowet/Soin,Soin
Kericho,Sigowet/Soin,Sigowet/Soin,Soliat
Kericho,Sigowet/Soin,Sigowet/Soin,Kaplelartet
Kericho,Sigowet/Soin,Sigowet/Soin,Sigowet
Kericho,Belgut,Belgut,Kapsuser
Kericho,Belgut,Belgut,Chaik
Kericho,Belgut,Belgut,Cheptororiet/Seretut
Kericho,Belgut,Belgut,Kabianga
Kericho,Belgut,Belgut,Waldai
Kericho,Bureti,Bureti,Kapkatet
Kericho,Bureti,Bureti,Cheplanget
Kericho,Bureti,Bureti,Litein
Kericho,Bureti,Bureti,Chemosot
Kericho,Bureti,Bureti,Cheboin
Kericho,Bureti,Bureti,Tebesonik
Kericho,Bureti,Bureti,Kisiara
Kericho,Ainamoi,Ainamoi,Kapsaos
Kericho,Ainamoi,Ainamoi,Kipchimchim
Kericho,Ainamoi,Ainamoi,Kipchebor
Kericho,Ainamoi,Ainamoi,Kapkugerwet
Kericho,Ainamoi,Ainamoi,Ainamoi
Kericho,Ainamoi,Ainamoi,Kapsoit
Kericho,Kipkelion West,Kipkelion West,Chilchila
Kericho,Kipkelion West,Kipkelion West,Kipkelion
Kericho,Kipkelion West,Kipkelion West,Kamasian
Kericho,Kipkelion West,Kipkelion West,Kunyak
Kericho,Kipkelion East,Kipkelion East,Tendeno/Sorget
Kericho,Kipkelion East,Kipkelion East,Chepseon
Kericho,Kipkelion East,Kipkelion East,Kedowa/Kimugul
Kericho,Kipkelion East,Kipkelion East,Londiani
Kajiado,Loitokitok,Kajiado South,Kimana
Kajiado,Loitokitok,Kajiado South,Rombo
Kajiado,Loitokitok,Kajiado South,Kuku
Kajiado,Loitokitok,Kajiado South,Imbrikani/Eselelnkei
Kajiado,Loitokitok,Kajiado South,Entonet/Lenkism
Kajiado,Kajiado West,Kajiado West,Mosiro
Kajiado,Kajiado West,Kajiado West,Ewuaso Oo Nkidong'i
Kajiado,Kajiado West,Kajiado West,Magadi
Kajiado,Kajiado West,Kajiado West,Iloodokilani
Kajiado,Kajiado West,Kajiado West,Keekonyokie
Kajiado,Kajiado East,Kajiado East,Imaroro
Kajiado,Kajiado East,Kajiado East,Kenyawa-poka
Kajiado,Kajiado East,Kajiado East,Oloosirkon/Sholinke
Kajiado,Kajiado East,Kajiado East,Kitengela
Kajiado,Kajiado East,Kajiado East,Kaputiei North
Kajiado,Kajiado Central,Kajiado Central,Matapato South
Kajiado,Kajiado Central,Kajiado Central,Matapato North
Kajiado,Kajiado Central,Kajiado Central,Dalalekutuk
Kajiado,Kajiado Central,Kajiado Central,Ildamat
Kajiado,Kajiado Central,Kajiado Central,Purko
Kajiado,Kajiado North,Kajiado North,Ngong
Kajiado,Kajiado North,Kajiado North,Oloolua
Kajiado,Kajiado North,Kajiado North,Nkaimurunya
Kajiado,Kajiado North,Kajiado North,Ongata Rongai
Kajiado,Kajiado North,Kajiado North,Olkeri
Narok,Narok West,Narok West,Naikarra
Narok,Narok West,Narok West,Siana
Narok,Narok West,Narok West,Mara
Narok,Narok West,Narok West,Ilmotiook
Narok,Narok South,Narok South,Sagamian
Narok,Narok South,Narok South,Sogoo
Narok,Narok South,Narok South,Loita
Narok,Narok South,Narok South,Melelo
