status_name,facility_name,facility_ward,facility_constituency,facility_subcounty,facility_county,name,code,date_established,facility
Fully-functional,Losogwa Dispensary,Igwamiti,Laikipia West,Laikipia West,Laikipia,Losogwa B Community unit,,2018-07-01,23f4bfd0-4337-4856-85c3-c77fc8e45d3b
Fully-functional,Mahianyu Dispensary,Igwamiti,Laikipia West,Laikipia West,Laikipia,Kiandege,,2018-07-01,d982b59c-f4db-4684-8d82-99e307d61d61
Fully-functional,Mahianyu Dispensary,Igwamiti,Laikipia West,Laikipia West,Laikipia,Mahianyu B Community Unit,713100.0,2018-07-01,d982b59c-f4db-4684-8d82-99e307d61d61
Fully-functional,Maili Saba,Igwamiti,Laikipia West,Laikipia West,Laikipia,Kaichakun Comminity Unit,,2018-07-01,4326941c-70a0-4f0f-85c4-8af0a3bb1703
Fully-functional,Maili Saba,Igwamiti,Laikipia West,Laikipia West,Laikipia,Uasonarock B Community Unit,,2018-07-01,4326941c-70a0-4f0f-85c4-8af0a3bb1703
Fully-functional,Oljabet Health Centre,Marmanet,Laikipia West,Laikipia West,Laikipia,Sironi B Community Unit,713101.0,2009-07-01,d936430b-a5b4-4872-9570-e14b7724df04
Fully-functional,Oljabet Health Centre,Marmanet,Laikipia West,Laikipia West,Laikipia,Oljabet C Community unit,713105.0,2009-07-01,d936430b-a5b4-4872-9570-e14b7724df04
Fully-functional,Oljabet Health Centre,Marmanet,Laikipia West,Laikipia West,Laikipia,Oljabet B Community unit,,2009-07-01,d936430b-a5b4-4872-9570-e14b7724df04
Fully-functional,Kaiti Dispensary,Marmanet,Laikipia West,Laikipia West,Laikipia,Kaiti C Community unit,,2018-07-01,476b1892-c198-4578-908c-ba383ee3f148
Fully-functional,Kaiti Dispensary,Marmanet,Laikipia West,Laikipia West,Laikipia,Kaiti B community unit,,2018-07-01,476b1892-c198-4578-908c-ba383ee3f148
Fully-functional,Melwa Health Centre,Marmanet,Laikipia West,Laikipia West,Laikipia,Melwa B community unit,,2018-07-01,e5a547c4-338d-49e5-b2d3-c87bb53d42af
Fully-functional,Karaba Dispensary (Laikipia West),Marmanet,Laikipia West,Laikipia West,Laikipia,Karaba C community unit,,2018-07-01,90800142-f914-4ae9-9680-e3170652957b
Fully-functional,Karaba Dispensary (Laikipia West),Marmanet,Laikipia West,Laikipia West,Laikipia,Karaba B community unit,,2018-07-01,90800142-f914-4ae9-9680-e3170652957b
Fully-functional,Kiminini Health Centre,Kiminini,Kiminini,Kiminini,Trans Nzoia,Nakwangwa Community Unit,713080.0,2023-07-01,7766c27d-d3c7-46b3-b17c-6dc68a3dd059
Fully-functional,Matunda  Sub County Hospital,Nabiswa,Kiminini,Kiminini,Trans Nzoia,Konoin Community Unit,713081.0,2023-07-01,24ea0463-2e03-4452-8323-c306e5b83471
Fully-functional,Tulwet Health Centre,Waitaluk,Kiminini,Kiminini,Trans Nzoia,Wamuini Community Unit,713082.0,2023-07-01,ddaa8787-3c07-4573-ba04-8cbd6e4f5816
Fully-functional,Tulwet Health Centre,Waitaluk,Kiminini,Kiminini,Trans Nzoia,Sang'alo Community Unit,713083.0,2023-07-01,ddaa8787-3c07-4573-ba04-8cbd6e4f5816
Fully-functional,Kitale County Referral Hospital,Hospital,Kiminini,Kiminini,Trans Nzoia,Kimoson Community Unit,713084.0,2023-07-01,efccc52a-020b-4df1-b7fa-ce9e7496f4c1
Fully-functional,Bwayi Dispensary,Kwanza,Kwanza,Kwanza,Trans Nzoia,Bwayi Community Unit,713085.0,2020-07-01,4fa8af6a-0a2d-4fb9-8b1d-a2b80e37f8fb
Fully-functional,Birunda Dispensary,Nabiswa,Kiminini,Kiminini,Trans Nzoia,Lurambi Community Unit,713086.0,2023-05-02,78cc9409-4b05-452e-a6b5-bd1fa0044f86
Fully-functional,Lanet Health Centre,Nakuru East,Nakuru Town East,Nakuru East,Nakuru,Machine Community Unit,713094.0,2016-08-08,20ea09c0-621e-4fa4-a308-fff2e1ab7f33
Fully-functional,Naikuriu Dispensary,Naathu,Igembe North,Igembe North,Meru,Buathine Community Health Unit,,2023-02-01,5702676e-b342-4aba-a944-3ff72652ba9b
Fully-functional,Sachoran Dispensary,Kapsuser,Belgut,Belgut,Kericho,Mereonik,713075.0,2022-12-15,18094799-327b-41dc-8d8b-b7ecb2d4f83f
Fully-functional,Sachoran Dispensary,Kapsuser,Belgut,Belgut,Kericho,Chemoset Community Unit,713076.0,2023-04-06,18094799-327b-41dc-8d8b-b7ecb2d4f83f
Fully-functional,Sachoran Dispensary,Kapsuser,Belgut,Belgut,Kericho,Chepng'etuny  Community Unit,713079.0,2022-11-10,18094799-327b-41dc-8d8b-b7ecb2d4f83f
Fully-functional,Sachoran Dispensary,Kapsuser,Belgut,Belgut,Kericho,Mereonik Community Unit,,2022-12-15,18094799-327b-41dc-8d8b-b7ecb2d4f83f
Fully-functional,Sachoran Dispensary,Kapsuser,Belgut,Belgut,Kericho,Mereonik Community Unit,,2022-12-15,18094799-327b-41dc-8d8b-b7ecb2d4f83f
Fully-functional,Geta Bush Health Centre,Geta,Kipipiri,Kipipiri,Nyandarua,Makumbi Commumity Unit,,2008-10-10,184f8caf-80bc-4741-b970-9819881092ec
Fully-functional,Geta Bush Health Centre,Geta,Kipipiri,Kipipiri,Nyandarua,Makumbi Commumity Unit,,2008-10-10,184f8caf-80bc-4741-b970-9819881092ec
Fully-functional,Wakula Health Centre,Mfangano Island,Mbita,Suba Central,Homa Bay,WAKULA NORTH  B,,2023-08-09,1fc26dd1-472a-456b-a249-6719320c1835
Fully-functional,Chobosta Dispensary,Soy,Soy,Soy,Uasin Gishu,Chobosta community unit,,2022-10-03,489fd70c-ef6a-4394-9600-d3bc60771db6
Fully-functional,Chemoset Dispensary,Kipsomba,Soy,Soy,Uasin Gishu,Chobosta community unit,713096.0,2022-10-03,7eed02c4-092f-43ce-80ff-e5d9027fefda
Fully-functional,Wakula Health Centre,Mfangano Island,Mbita,Suba Central,Homa Bay,WAKULA NORTH   A,,2023-08-09,1fc26dd1-472a-456b-a249-6719320c1835
Fully-functional,Chemegong,Sigowet,Sigowet/Soin,Sigowet/Soin,Kericho,Chemegong CU,713072.0,2022-08-02,f36cef11-35ae-4ed6-aabe-eba4241664b2
Fully-functional,Ligega Health Centre,Ugunja,Ugunja,Ugunja,Siaya,Ligega Community Unit,713071.0,2009-07-01,70fb1beb-13bd-4d6c-b081-72439172542e
Fully-functional,Maiani Dispensary,Mukaa,Kilome,Kilome,Makueni,Maiani community Health unit,,2022-01-03,37b86432-3bf0-4063-8736-41d5ff378a4b
Fully-functional,Soroko Dispensary,Witu,Lamu West,Lamu West,Lamu,Soroko Community Health Unit,713070.0,2023-08-01,7a4bfe43-93b9-4090-b5d5-7bcb2ab35f90
Fully-functional,Kona Njema Dispensary,Witu,Lamu West,Lamu West,Lamu,Kona Njema Community Health Unit,713065.0,2023-08-01,fdd5d6e4-ae8e-4c6f-9b98-073ae6839ddb
Fully-functional,Chalaluma Dispensary,Witu,Lamu West,Lamu West,Lamu,Chalaluma Community Health Unit,713066.0,2023-08-01,044465be-7575-490d-a541-1feda9d65530
Fully-functional,Pandanguo Dispensary,Witu,Lamu West,Lamu West,Lamu,Pandanguo Community Health Unit,713068.0,2023-08-01,0526c351-362a-4781-98f5-7af78b1a0eff
Fully-functional,Gathara Dispensary,Gathara,Kinangop,Kinangop,Nyandarua,Gathara unit,713073.0,2023-05-01,7bb6a0dc-9514-45a8-94e1-43909509383d
Fully-functional,Mbagas,Korr/Ngurunit,Laisamis,Laisamis,Marsabit,Mbagas Community Health Unit,,2020-01-17,ec898e87-6416-46e5-805f-d2b918e33065
Fully-functional,Mbagas,Korr/Ngurunit,Laisamis,Laisamis,Marsabit,Mbagas Community Health Unit,,2020-01-17,ec898e87-6416-46e5-805f-d2b918e33065
Fully-functional,Mbagas,Korr/Ngurunit,Laisamis,Laisamis,Marsabit,Mbagas Community Health Unit,,2020-01-17,ec898e87-6416-46e5-805f-d2b918e33065
Fully-functional,Withare Dispensary,Ngobit,Laikipia East,Laikipia East,Laikipia,Muhania Community  Health Unit,712913.0,2023-03-01,2df49903-9256-4f8e-9155-8c85aeaf338a
Fully-functional,Withare Dispensary,Ngobit,Laikipia East,Laikipia East,Laikipia,Mutaro Community  Health Unit,712919.0,2023-03-01,2df49903-9256-4f8e-9155-8c85aeaf338a
Fully-functional,Withare Dispensary,Ngobit,Laikipia East,Laikipia East,Laikipia,Withare Community Health Unit,712921.0,2023-03-01,2df49903-9256-4f8e-9155-8c85aeaf338a
Fully-functional,Mwituria Dispensary,Ngobit,Laikipia East,Laikipia East,Laikipia,Wamura Community Health Unit,712922.0,2023-03-01,7b2fcba9-4942-4503-be35-470fa3362c97
Fully-functional,Ngobit Dispensary,Ngobit,Laikipia East,Laikipia East,Laikipia,Marina Community  health Unit,712923.0,2023-03-01,14ab705a-19b7-4fed-badc-0df4e7549c8d
Fully-functional,Kariguini Dispensary,Ngobit,Laikipia East,Laikipia East,Laikipia,Kariguini Community Health Unit,712924.0,2023-03-01,d2926129-aa2c-4e24-9368-82a420560673
Fully-functional,Shallom Dispensary,Ngobit,Laikipia East,Laikipia East,Laikipia,Shallom Community Health Unit,712925.0,2023-03-01,28f0ca7e-ee12-49f8-ab73-f7c9c430b706
Fully-functional,Wiyumiririe Dispensary,Ngobit,Laikipia East,Laikipia East,Laikipia,Mwihoko Community Health Unit,712926.0,2023-03-01,b83eda75-a8a9-4420-9682-7ea40f45d9fd
Fully-functional,Wiyumiririe Dispensary,Ngobit,Laikipia East,Laikipia East,Laikipia,Nyakio Community  Health Unit,712927.0,2023-03-01,b83eda75-a8a9-4420-9682-7ea40f45d9fd
Fully-functional,Matanya Dispensary,Tigithi,Laikipia East,Laikipia East,Laikipia,Weruini Community Health Unit,712928.0,2023-03-01,2d06530d-19ed-4bd2-a42e-4f397a394180
Fully-functional,Matanya Dispensary,Tigithi,Laikipia East,Laikipia East,Laikipia,Chuma Community  Health Unit,712929.0,2023-03-01,2d06530d-19ed-4bd2-a42e-4f397a394180
Fully-functional,Matanya Dispensary,Tigithi,Laikipia East,Laikipia East,Laikipia,Kamangura Community Health Unit,712930.0,2023-03-01,2d06530d-19ed-4bd2-a42e-4f397a394180
Fully-functional,Matanya Dispensary,Tigithi,Laikipia East,Laikipia East,Laikipia,Irioko Community Health Unit,712932.0,2023-03-01,2d06530d-19ed-4bd2-a42e-4f397a394180
Fully-functional,Matanya Dispensary,Tigithi,Laikipia East,Laikipia East,Laikipia,Thome Community Health Unit,712933.0,2023-03-01,2d06530d-19ed-4bd2-a42e-4f397a394180
Fully-functional,Solio Dispensary,Tigithi,Laikipia East,Laikipia East,Laikipia,Furaha Community Health Unit,712934.0,2023-03-01,21c179bd-1119-4fe9-9c8a-580870b08a16
Fully-functional,Solio Dispensary,Tigithi,Laikipia East,Laikipia East,Laikipia,Baraka -solio Community  Health Unit,712935.0,2023-03-01,21c179bd-1119-4fe9-9c8a-580870b08a16
Fully-functional,LHS Bahati Dispensary,Tigithi,Laikipia East,Laikipia East,Laikipia,Bahati Community Health Unit,712936.0,2023-03-01,493ed524-2f5c-4536-9959-faf0e9a6867a
Fully-functional,Kihato Dispensary,Tigithi,Laikipia East,Laikipia East,Laikipia,Castle Community Health Unit,712937.0,2023-03-01,dc50becc-570a-4632-a3a9-7ed072c6f557
Fully-functional,Lamuria Sub County Hospital (Laikipia East),Tigithi,Laikipia East,Laikipia East,Laikipia,Riacho Community Health Unit,712938.0,2023-03-01,2f7b46df-99c5-4d11-8253-d1b8f4f3293a
Fully-functional,Lamuria Sub County Hospital (Laikipia East),Tigithi,Laikipia East,Laikipia East,Laikipia,Mwakinya Community Health Unit,712939.0,2023-03-01,2f7b46df-99c5-4d11-8253-d1b8f4f3293a
semi-functional,Ewaso Dispensary,Mugogodo West,Laikipia North,Laikipia North,Laikipia,Kirimon Community Health Unit,712940.0,2023-01-02,7a94d84b-6ac3-4387-9654-2beeefbcb801
Fully-functional,Ilpolei Dispensary,Mugogodo West,Laikipia North,Laikipia North,Laikipia,Ilpolei Community Health Unit,712941.0,2023-01-02,0008896d-fc28-4059-b1dd-7b9dbe8b41f1
semi-functional,Naiperere Dispensary,Mugogodo West,Laikipia North,Laikipia North,Laikipia,Naiperere Community Health Unit,712942.0,2023-01-02,21a9fb65-d7bb-47d0-a510-b49a1b364f0f
semi-functional,Segera Mission Dispensary,Segera,Laikipia North,Laikipia North,Laikipia,Segera Mission Community Health Unit,712943.0,2023-01-02,055197c2-a521-47ff-bd39-dc32cfae6571
semi-functional,Powys Dispensary,Segera,Laikipia North,Laikipia North,Laikipia,Powys Community Health Unit,712944.0,2023-01-02,5b320170-2e78-4dde-a3b8-fdb08a5f279a
semi-functional,Minjore Dispensary,Sosian,Laikipia North,Laikipia North,Laikipia,Minjore Community Health Unit,712945.0,2023-01-02,e98fd50e-5cb8-41c4-9a00-bd0d1760b57b
semi-functional,Nakwiang,Sosian,Laikipia North,Laikipia North,Laikipia,Nakwiang Community Health Unit,712946.0,2023-01-02,6165c46d-e8fd-4e08-a918-67ad5e2ca1f9
semi-functional,Rabal Dispensary,Sosian,Laikipia North,Laikipia North,Laikipia,Rabal Community Health Unit,712947.0,2023-01-02,3473c356-dcf9-4fec-8d65-fedba04bb356
semi-functional,Sosian Dispensary,Sosian,Laikipia North,Laikipia North,Laikipia,Sosian Community Health Unit,712948.0,2023-01-02,dc8d7a67-6b86-44c1-ac8a-55d6a545c3fb
Fully-functional,Muramati Dispensary,Segera,Laikipia North,Laikipia North,Laikipia,Muramati Community Health Unit,712949.0,2023-01-02,2d6f5b91-2a83-4185-8bfc-c0fe048cbb55
semi-functional,East Laikipia Dispensary,Mugogodo East,Laikipia North,Laikipia North,Laikipia,East Laikipia Community Health Unit,712950.0,2023-01-02,6daad887-5015-4774-9a10-96ee77dc0a39
semi-functional,Ntalabany Dispensary,Mugogodo East,Laikipia North,Laikipia North,Laikipia,Ntalabany Community Health Unit,712951.0,2023-01-02,fb26189f-5dd7-48c8-957d-e5d2481f8918
Fully-functional,Doldol Sub District Hospital,Mugogodo East,Laikipia North,Laikipia North,Laikipia,Doldol town Community Health Unit,712952.0,2023-01-02,69f9f06d-4807-4d71-82a1-685e281014ea
Fully-functional,Sweet Waters Dispensary,Tigithi,Laikipia East,Laikipia East,Laikipia,Njoguini Community Health Unit,712953.0,2023-03-01,bafcaa9f-0af2-46fc-aa12-32ff6acce309
Fully-functional,Sweet Waters Dispensary,Tigithi,Laikipia East,Laikipia East,Laikipia,Sweetwaters Community Health Unit,712954.0,2023-03-01,bafcaa9f-0af2-46fc-aa12-32ff6acce309
Fully-functional,Baraka Dispensary,Thingithu,Laikipia East,Laikipia East,Laikipia,Baraka Community Health Unit,712955.0,2023-03-01,9a0f50ac-27df-4a9b-9bde-6530ab2bae12
Fully-functional,Nanyuki  Teaching and Referral Hospital,Nanyuki,Laikipia East,Laikipia East,Laikipia,Stadium Community Health Unit,712956.0,2023-03-01,4d494f10-c7c4-4936-b480-251d7227f6a9
Fully-functional,Nanyuki  Teaching and Referral Hospital,Nanyuki,Laikipia East,Laikipia East,Laikipia,Blue Gum Community Health Unit,712957.0,2023-03-01,4d494f10-c7c4-4936-b480-251d7227f6a9
Fully-functional,Nanyuki  Teaching and Referral Hospital,Nanyuki,Laikipia East,Laikipia East,Laikipia,Kilimo Community Health Unit,712958.0,2023-03-01,4d494f10-c7c4-4936-b480-251d7227f6a9
Fully-functional,GK Prisons Dispensary (Laikipia East),Thingithu,Laikipia East,Laikipia East,Laikipia,Kisumu Dogo Community Health Unit,712959.0,2023-03-01,98a436b8-5999-4a04-9cf6-3542ee3636a1
Fully-functional,GK Prisons Dispensary (Laikipia East),Thingithu,Laikipia East,Laikipia East,Laikipia,Old Market Community Health Unit,712960.0,2023-03-01,98a436b8-5999-4a04-9cf6-3542ee3636a1
Fully-functional,GK Prisons Dispensary (Laikipia East),Thingithu,Laikipia East,Laikipia East,Laikipia,Mountain View Community Health Unit,712961.0,2023-03-01,98a436b8-5999-4a04-9cf6-3542ee3636a1
Fully-functional,Nturukuma Dispensary,Nanyuki,Laikipia East,Laikipia East,Laikipia,Milimani Community Health Unit,712931.0,2023-03-01,27c314d4-40a5-4781-9641-6f36b1075c6f
Fully-functional,Nturukuma Dispensary,Nanyuki,Laikipia East,Laikipia East,Laikipia,Nkando Community Health Unit,712962.0,2023-03-01,27c314d4-40a5-4781-9641-6f36b1075c6f
Fully-functional,Nturukuma Dispensary,Nanyuki,Laikipia East,Laikipia East,Laikipia,Makutano Community  Health Unit,712963.0,2023-03-01,27c314d4-40a5-4781-9641-6f36b1075c6f
Fully-functional,Nanyuki  Teaching and Referral Hospital,Nanyuki,Laikipia East,Laikipia East,Laikipia,Ngei  Community Health Unit,712964.0,2023-03-01,4d494f10-c7c4-4936-b480-251d7227f6a9
Fully-functional,Nanyuki  Teaching and Referral Hospital,Nanyuki,Laikipia East,Laikipia East,Laikipia,NTRH Community Health Unit,712965.0,2023-03-01,4d494f10-c7c4-4936-b480-251d7227f6a9
Fully-functional,Likii Dispensary,Nanyuki,Laikipia East,Laikipia East,Laikipia,Likii Community Health Unit,712966.0,2023-03-01,237b9dea-088a-4a08-bbe9-41537a36311b
Fully-functional,Githuci Dispesary,Umande,Laikipia North,Laikipia East,Laikipia,Karachi Community Health Unit,712967.0,2023-03-01,fb439506-f27f-482f-be5d-fada36a33b27
Fully-functional,Mugumo Dispensary,Umande,Laikipia North,Laikipia East,Laikipia,Mugumo Center  Community Unit,712968.0,2023-03-01,0e05fa8f-4c7c-4211-8d5f-3f237c854d85
Fully-functional,Kalalu Dispensary,Umande,Laikipia North,Laikipia East,Laikipia,Timau farmers Community Unit,712969.0,2023-03-01,226f7f8d-e3a3-4cb9-8982-ea176dc960fe
Fully-functional,Kalalu Dispensary,Umande,Laikipia North,Laikipia East,Laikipia,Daiga Community Unit,712970.0,2023-03-01,226f7f8d-e3a3-4cb9-8982-ea176dc960fe
Fully-functional,Kalalu Dispensary,Umande,Laikipia North,Laikipia East,Laikipia,Maili Nane Community Unit,712971.0,2023-03-01,226f7f8d-e3a3-4cb9-8982-ea176dc960fe
Fully-functional,Muhotetu Dispensary,Marmanet,Laikipia West,Laikipia West,Laikipia,Muhotetu C Community unit,712973.0,2012-07-01,0f4a49e1-b31c-4628-a6b8-9272d0e02a6d
Fully-functional,Muhotetu Dispensary,Marmanet,Laikipia West,Laikipia West,Laikipia,Muhotetu B Community Unity,712974.0,2012-07-01,0f4a49e1-b31c-4628-a6b8-9272d0e02a6d
Fully-functional,Ngarua Health Centre,Marmanet,Laikipia West,Laikipia West,Laikipia,Ng'arua B community unit,712975.0,2006-07-01,f80c15ce-e149-4cd7-a9ff-fe3c17c3cbf6
Fully-functional,Thigio Dispensary (Laikipia West),Marmanet,Laikipia West,Laikipia West,Laikipia,Gatirima community unit,712976.0,2006-07-01,d43d3513-4d6e-466f-bf11-e48148ec3580
Fully-functional,Thigio Dispensary (Laikipia West),Marmanet,Laikipia West,Laikipia West,Laikipia,Thigio Community unit,712977.0,2006-07-01,d43d3513-4d6e-466f-bf11-e48148ec3580
Fully-functional,Seria Dispensary,Marmanet,Laikipia West,Laikipia West,Laikipia,Seria Community Unit,712979.0,2006-07-01,b7cdb7bd-c57f-4a49-a5ad-7164c65f3314
Fully-functional,Kiruri Dispensary (Laikipia West),Salama,Laikipia West,Laikipia West,Laikipia,Kiamariga Community Unit,712981.0,2009-07-01,d6a6c5ef-1435-404f-a038-a0a69338c9be
Fully-functional,Mutara Dispensary,Salama,Laikipia West,Laikipia West,Laikipia,Mutara community Unit,712983.0,2009-07-01,b8e1c2be-e25c-4a44-826e-078ce53f77e5
Fully-functional,Thome Disp.,Salama,Laikipia West,Laikipia West,Laikipia,Mathira community Unit,712985.0,2018-07-01,fdc1bdfb-80cc-4a21-b325-e1a9c686a7cb
Fully-functional,Thome Disp.,Salama,Laikipia West,Laikipia West,Laikipia,Thome c community Unit,712986.0,2018-07-01,fdc1bdfb-80cc-4a21-b325-e1a9c686a7cb
